rumi	jawi
aba	اب
aba-aba	اب٢
aba-daba	اب-داب
abad	ابد
berabad-abad	برابد-ابد
ab-ad	ابعاض
ab-ad	ابعض
abadi	ابادي
diabadikan	دأباديکن
keabadian	کأبادين
mengabadikan	مڠاباديکن
pengabadian	ڤڠابادين
terabadi	ترابادي
abadiah	ابدية
abadiat	ابدية
abah	ابه
abah-abah	ابه٢
mengabah	مڠابه
mengabahkan	مڠابهکن
abai	اباي
abaian	اباين
diabaikan	دأبايکن
keabaian	کأباين
keterabaian	کتراباين
mengabaikan	مڠابايکن
pengabai	ڤڠاباي
pengabaian	ڤڠاباين
terabai	تراباي
terabaikan	ترابايکن
abaimana	ابايمان
abaka	اباک
abal	ابل
abalone	ابالوني
abang	ابڠ
berabang	برابڠ
berabangkan	برابڠکن
abangan	ابڠن
abar	ابر
abar-abar	ابر٢
berabarkan	برابرکن
mengabar	مڠابر
terabar	ترابر
abas	ابس
abat	ابت
abau	اباو
abdal	ابدال
abdas	ابدس
berabdas	برابدس
abdi	عبدي
diabdikan	دعبديکن
mengabdi	مڠعبدي
mengabdikan	مڠعبديکن
pengabdian	ڤڠعبدين
abdikasi	ابديکاسي
abdomen	ابدومن
abese	ابيسي
abet	ابت
mengabet	مڠابت
abentara	ابنتارا
abi	ابي
abiad	ابيض
abid	عابد
abidin	عابدين
abilah	ابيله
abintara	ابينتارا
abiogenesis	ابيوݢينسيس
abjad	ابجد
berabjad	برابجد
diabjadkan	دأبجدکن
mengabjadkan	مڠبجدکن
pengabjadan	ڤڠبجدن
ablasi	ابلاسي
abnormal	ابنورمل
keabnormalan	کأبنورملن
abnus	ابنوس
aboi	ابوي
abon	ابون
abonemen	ابونمين
berabonemen	برابونمين
abrak	ابرق
abrar	ابرار
abras	ابرس
absah	ابسه
diabsahkan	دأبسهکن
mengabsahkan	مڠبسهکن
me	م
keabsahan	کأبسهن
pengabsahan	ڤڠبسهن
abses	ابسيس
absolusi	ابسولوسي
absolutisme	ابسولوتيسمى
abstrak	ابسترک
diabstrakkan	دأبسترککن
keabstrakan	کأبسترکن
mengabstrakkan	مڠبسترککن
abstraksi	ابسترکسي
absurd	ابسورد
absurdisme	ابسورديسمى
abtar	ابتر
abu	ابو
abu-abu	ابو٢
abu-abuan	ابو-ابوان
berabu	برابو
diabui	دأبوءي
keabu-abuan	کأبو-ابوان
memperabukan	ممڤرابوکن
mengabu	مڠابو
mengabui	مڠابوءي
pengabuan	ڤڠابوان
perabuan	ڤرابوان
abuh	ابوه
abuk	ابوق
abuk-abuk	ابوق٢
diabuk	دأبوق
mengabuk	مڠابوق
abun	ابون
abun-abun	ابون٢
abung	ابوڠ
abur	ابور
diabur	دأبور
mengabur	مڠابور
pengabur	ڤڠابور
abus	ابوس
abut	ابوت
abuya	ابوي
abvolt	ابۏولت
abyad	ابيض
acah	اچه
acahan	اچهن
beracah-acah	براچه-اچه
mengacah	مڠاچه
mengacah-acah	مڠاچه-اچه
acak	اچق
acak-acak	اچق٢
acak-acakan	اچق-اچقن
mengacak	مڠاچق
acan	اچن
diacan	دأچن
mengacan	مڠاچن
acang	اچڠ
acang-acang	اچڠ٢
acap	اچڤ
acap-acap	اچڤ٢
mengacapi	مڠاچڤي
acar	اچر
mengacar	مڠاچر
acara	اچارا
beracara	براچارا
diacarai	دأچاراءي
diacarakan	دأچاراکن
mengacara	مڠاچارا
mengacarai	مڠاچاراءي
mengacarakan	مڠاچاراکن
pengacara	ڤڠاچارا
acaram	اچارم
acat	اچت
acau	اچاو
mengacau	مڠاچاو
aci	اچي
aci-aci	اچي٢
aci-acian	اچي-اچين
mengaci-acikan	مڠاچي-اچيکن
mengacikan	مڠاچيکن
acih	اچيه
acik	اچيق
acita	اچيتا
aco	اچو
mengaco	مڠاچو
acu	اچو
acuan	اچوان
acukan	اچوکن
beracuan	براچوان
beracuankan	براچوانکن
diacu	دأچو
diacu-acukan	دأچو-اچوکن
mengacu	مڠاچو
mengacu-acu	مڠاچو-اچو
mengacu-acukan	مڠاچو-اچوکن
mengacukan	مڠاچوکن
acuh	اچوه
acuhan	اچوهن
mengacuhkan	مڠاچوهکن
acuk	اچوق
acum	اچوم
acuman	اچومن
diacum	دأچوم
mengacum	مڠاچوم
pengacum	ڤڠاچوم
acung	اچوڠ
diacung	دأچوڠ
mengacung	مڠاچوڠ
mengacungkan	مڠاچوڠکن
pengacungan	ڤڠاچوڠن
acup	اچوڤ
ada	اد
ada-ada	اد٢
ada-berada	اد-براد
adakah	اداکه
adakan	اداکن
adalah	اداله
adapun	اداڤون
berada	براد
berada-ada	برادا-اد
berkeadaan	برکأداءن
diada-adakan	دأدا-اداکن
diadakan	دأداکن
keadaan	کأداءن
keberadaan	کبراداءن
mengada-ada	مڠادا-اد
mengada-adakan	مڠادا-اداکن
mengadakan	مڠاداکن
pengadaan	ڤڠاداءن
adab	ادب
beradab	برادب
berperadaban	برڤرادبن
keadaban	کأدبن
memperadabkan	ممڤرادبکن
mengadabi	مڠادبي
peradaban	ڤرادبن
adad	عدد
adagio	اداݢيو
adai	اداي
adai-badai	اداي-باداي
adak	ادق
adakala	اداکالا
adalat	عدالة
adan	عدن
adan	ادن
adang	ادڠ
adang-adang	ادڠ٢
diadang	دأدڠ
mengadang	مڠادڠ
mengadangi	مڠادڠي
mengadangkan	مڠادڠکن
pengadang	ڤڠادڠ
pengadangan	ڤڠادڠن
teradang	ترادڠ
adap	ادڤ
adap-adapan	ادڤ-ادڤن
adaptasi	ادڤتاسي
beradaptasi	برادڤتاسي
diadaptasi	دأدڤتاسي
diadaptasikan	دأدڤتاسيکن
mengadaptasi	مڠادڤتاسي
mengadaptasikan	مڠادڤتاسيکن
pengadaptasi	ڤڠادڤتاسي
pengadaptasian	ڤڠادڤتاسين
adar	ادر
mengadar	مڠادر
adas	عدس
adat	عادت
beradat	برعادت
diadatkan	دعادتکن
mengadatkan	مڠادتکن
teradat	ترعادت
adawat	عداوة
addin	الدين
adegan	اديݢن
adem	ادم
mengadem	مڠادم
adhesi	ادهيسي
adhoc	ايدهوک
adi	ادي
adi-beradi	ادي-برادي
seperadian	سڤرادين
seperadian	سڤراديان
adiabatik	ادياباتيک
adib	اديب
adicita	اديچيتا
adik	اديق
adik-beradik	اديق-براديق
beradik	براديق
diperadik	دڤراديق
memperadik	ممڤراديق
adika	اديک
adikara	اديکارا
adikarya	اديکاريا
adikong	اديکوڠ
adikuasa	اديکواس
adikudrati	اديقدرتي
adil	عاديل
diadili	دعاديلي
diadilkan	دعاديلکن
keadilan	کعاديلن
mengadili	مڠاديلي
mengadilkan	مڠاديلکن
pengadil	ڤڠاديل
pengadilan	ڤڠاديلن
peradilan	ڤرعاديلن
seadil-adil	سعاديل-عاديل
teradil	ترعاديل
adinda	اديندا
ading	اديڠ
adiningrat	ادينيڠرت
adinterim	ايداينتريم
adipati	اديڤاتي
adipos	اديڤوس
adiposuria	اديڤوسوريا
adipsia	اديڤسيا
adiraja	اديراج
adiratna	اديرتنا
adisejuk	اديسجوق
adiwangsa	اديوڠسا
adiwarna	اديورنا
adjektif	ادجيکتيف
adjudikasi	ادجوديکاسي
teradjudikasi	ترادجوديکاسي
adjuster	ايدجوستر
administrasi	ادمينيستراسي
administratif	ادمينيستراتيف
administrator	ادمينيستراتور
admiral	ادميرل
adob	ادوب
adoi	ادوي
beradoi	برادوي
mengadoi	مڠادوي
mengadoi-adoi	مڠادوي-ادوي
adopsi	ادوڤسي
adpertensi	ادڤرتينسي
adpis	ادڤيس
adpisir	ادڤيسير
adpokat	ادڤوکت
adrem	ايدريم
adrenal	ادرينل
adrenalina	ادرينالينا
adrenosklerosis	ادرينوسکلروسيس
adres	ادريس
mengadreskan	مڠادريسکن
adu	ادو
aduan	ادوان
beradu	برادو
diadu	دأدو
diadukan	دأدوکن
memperadu-adukan	ممڤرادو-ادوکن
mengadu	مڠادو
mengadukan	مڠادوکن
pengadu	ڤڠادو
pengaduan	ڤڠادوان
peraduan	ڤرادوان
seperaduan	سڤرادوان
aduh	ادوه
mengaduh	مڠادوه
mengaduh-aduh	مڠادوه-ادوه
teraduh	ترادوه
aduhai	ادوهاي
aduk	ادوق
aduk-adukan	ادوق-ادوقن
adukan	ادوقن
diaduk	دأدوق
mengaduk	مڠادوق
mengaduk-aduk	مڠادوق-ادوق
pengaduk	ڤڠادوق
pengadukan	ڤڠادوقن
teraduk-aduk	ترادوق-ادوق
adun	ادون
adunan	ادونن
beradun	برادون
diadun	دأدون
diadunkan	دأدونکن
mengadun	مڠادون
mengadunkan	مڠادونکن
pengadun	ڤڠادون
pengadunan	ڤڠادونن
seadunan	سأدونن
advalorem	ايدۏالورم
adverba	ادۏربا
advertensi	ادۏرتينسي
advis	ادۏيس
advokat	ادۏوکت
aedes	ايديس
aerial	ايريال
beraerial	برايريال
aeroangkasa	ايرواڠکاس
aerob	ايروب
aerobatik	ايروباتيک
beraerobatik	برايروباتيک
aerobas	ايروبس
aerobik	ايروبيک
beraerobik	برايروبيک
aerobiologi	ايروبيولوݢي
aerodinamik	ايروديناميک
aerodrom	ايرودروم
aerofobia	ايروفوبيا
aerograf	ايروݢرف
aerogram	ايروݢرم
aerolit	ايروليت
aerologi	ايرولوݢي
aerometer	ايروميتر
aeronautik	ايروناوتيک
aeroponik	ايروفونيک
aerosfera	ايروسفيرا
aerosol	ايروسول
aerotaksis	ايروتکسيس
aerotropisme	ايروتروڤيسمى
afagia	افاݢيا
afakia	افاکيا
afal	افعال
afasia	افاسيا
afdal	افضل
keafdalan	کأفضلن
afdeling	افديليڠ
afektif	افيکتيف
afelion	افيليون
aferesis	افريسيس
afesis	افيسيس
afghani	افغاني
afiat	عافيت
keafiatan	کعافيتن
mengafiatkan	مڠعافيتکن
afid	افيد
afidavit	افيداۏيت
afiks	افيک‌س
afiliasi	افيلياسي
berafiliasi	برافيلياسي
afiniti	افينيتي
afonia	افونيا
aforisme	افوريسمى
afrak	افرق
afrikaans	افريکن‌س
afrikaner	افريکنر
afrit	عفريت
afro	افرو
afrodisiak	افروديسياک
afsun	افسون
afwah	افوه
afyun	افيون
aga	اݢ
beraga	براݢ
keagaan	کأݢاءن
mengagakan	مڠاݢاکن
peraga	ڤراݢ
agah	اݢه
beragah	براݢه
beragah-agah	براݢه-اݢه
beragah-agahan	براݢه-اݢهن
diagah	دأݢه
mengagah	مڠاݢه
agak	اݢق
agak-agak	اݢق٢
agakan	اݢقن
beragak	براݢق
beragak-agak	براݢق-اݢق
diagak	دأݢق
mengagak	مڠاݢق
mengagak-agak	مڠاݢق-اݢق
mengagakkan	مڠاݢقکن
mengagak-agihkan	مڠاݢق-اݢيهکن
seagak	سأݢق
seagak-agak	سأݢق-اݢق
teragak	تراݢق
teragak-agak	تراݢق-اݢق
agal	اݢل
agam	اݢم
beragam	براݢم
beragaman	براݢمن
agama	اݢام
beragama	براݢام
keagamaan	کأݢاماءن
mengagamakan	مڠاݢاماکن
seagama	سأݢام
agamani	اݢاماني
agamawan	اݢاماون
agan	اݢن
beragan	براݢن
mengagan	مڠاݢن
mengagan-agan	مڠاݢن-اݢن
mengagani	مڠاݢني
agar	اݢر
agar-agar	اݢر٢
agarik	اݢاريق
agas	اݢس
mengagas	مڠاݢس
agen	اݢين
beragen	براݢين
keagenan	کأݢينن
mengageni	مڠاݢيني
agenda	اݢيندا
beragenda	براݢيندا
seagenda	سأݢيندا
agensi	اݢينسي
aghlaf	اغلف
agih	اݢيه
agihan	اݢيهن
beragih	براݢيه
diagih	دأݢيه
diagihkan	دأݢيهکن
diagihi	دأݢيهي
mengagih	مڠاݢيه
mengagih-agihkan	مڠاݢيه-اݢيهکن
mengagihi	مڠاݢيهي
mengagihkan	مڠاݢيهکن
pengagih	ڤڠاݢيه
pengagihan	ڤڠاݢيهن
peragih	ڤراݢيه
aging	اݢيڠ
aging-aging	اݢيڠ٢
agitasi	اݢيتاسي
agitator	اݢيتاتور
aglosia	اݢلوسيا
aglutinasi	اݢلوتيناسي
aglutinin	اݢلوتينين
aglutinogen	اݢلوتينوݢن
agnostik	اݢنوستيک
agogo	اݢوݢو
agong	اݢوڠ
agorafobia	اݢورافوبيا
agrafia	اݢرافيا
agraria	اݢراريا
agraris	اݢراريس
agregat	اݢريݢت
agresif	اݢريسيف
keagresifan	کأݢريسيفن
pengagresif	ڤڠاݢريسيف
agresor	اݢريسور
agro	اݢرو
agroekologi	اݢروايکولوݢي
agroekonomi	اݢروايکونومي
agroindustri	اݢروايندوستري
agrokimia	اݢروکيميا
agrologi	اݢرولوݢي
agronomi	اݢرونومي
agrostologi	اݢروستولوݢي
agroteknologi	اݢروتيکنولوݢي
aguk	اݢوق
agul	اݢول
agul-agul	اݢول٢
mengagulkan	مڠاݢولکن
agun	اݢون
agunan	اݢونن
mengagunkan	مڠاݢونکن
agung	اݢوڠ
diagung-agungkan	دأݢوڠ-اݢوڠکن
diagungkan	دأݢوڠکن
keagungan	کأݢوڠن
memperagungkan	ممڤراݢوڠکن
mengagung-agungkan	مڠاݢوڠ-اݢوڠکن
mengagungkan	مڠاݢوڠکن
pengagungan	ڤڠاݢوڠن
seagung	سأݢوڠ
teragung	تراݢوڠ
teragung-agung	تراݢوڠ-اݢوڠ
agus	اݢوس
agut	اݢوت
agut-agut	اݢوت٢
mengagut-agut	مڠاݢوت-اݢوت
ah	اه
aha	اها
ahad	اهد
ahad	عهد
mengahadkan	مڠاهدکن
ahadah	اهده
ahadiat	اهدية
ahai	اهاي
ahem	اهيم
ahi	اهي
ahkam	اهکام
ahlanwasahlan	اهلاموسهلام
ahli	اهلي
berahli	براهلي
berahlikan	براهليکن
berkeahlian	برکأهلين
keahlian	کأهلين
mengahlikan	مڠهليکن
ahlilbait	اهلالبيت
ahmak	احمق
ahmar	احمر
aho	اهو
ahram	اهرام
ahsan	احسن
ahwal	احوال
ai	اءي
aib	عاءيب
diaibkan	دعاءيبکن
keaiban	کعاءيبن
mengaibkan	مڠاءيبکن
pengaiban	ڤڠاءيبن
aikido	ايکيدو
aileron	اءيلرون
ain	عين
ain-al-banat	عينالبنات
ainulbanat	عينالبنات
air	اءير
berair	براءير
diairi	دأءيري
keairan	کأءيرن
mengair	مڠاءير
mengairi	مڠاءيري
pengairan	ڤڠاءيرن
perairan	ڤراءيرن
sepengairan	سڤڠاءيرن
ais	اءيس
berais	براءيس
aisberg	اءسبرݢ
aising	اءيسيڠ
beraising	براءيسيڠ
mengaising	مڠاءيسيڠ
pengaisingan	ڤڠاءيسيڠن
aiskrim	اءيسکريم
beraiskrim	براءيسکريم
aiwan	اءيوان
aiya	اءييا
aja	اج
ajab	عجب
ajab	اجب
ajahan	اجاهن
ajaib	عجاءيب
keajaiban	کعجاءيبن
mengajaibkan	مڠعجاءيبکن
ajak	اجق
ajakan	اجقن
diajak	دأجق
mengajak	مڠاجق
mengajakkan	مڠاجقکن
pengajak	ڤڠاجق
ajal	اجل
ajam	عجم
ajami	عجمي
ajan	اجن
mengajan	مڠاجن
ajang	اجڠ
ajar	اجر
ajaran	اجرن
ajar-ajar	اجر٢
belajar	بلاجر
berajar	براجر
berpelajaran	برڤلاجرن
diajar	دأجر
diajari	دأجري
diajarkan	دأجرکن
mempelajari	ممڤلاجري
mengajar	مڠاجر
mengajar-ajari	مڠاجر-اجري
